id,posicion,tank,tratamiento,poza,pool,puesta,clutch,repeticion,estadio,lcu,lco,lt,peso,fecha,medicion,medicion2,semana,dm,muerto,vivo
82,32,FF,TEMP-2,9,A,1,A,2,30,8.11,13.04,20.12,0.11,04/03/2023,1,B,1,,0,1
83,32,FF,TEMP-2,9,A,1,A,2,29,8.03,11.7,19.45,0.08,04/03/2023,1,B,1,,0,1
81,32,FF,TEMP-2,9,A,1,A,2,27,5.65,9.05,15.51,0.03,28/02/2023,0,A,0,,0,1
84,32,FF,TEMP-2,9,A,1,A,2,27,6.05,9.02,15.07,0.04,28/02/2023,0,A,0,,0,1
82,32,FF,TEMP-2,9,A,1,A,2,27,5.91,8.51,14.5,0.04,28/02/2023,0,A,0,,0,1
83,32,FF,TEMP-2,9,A,1,A,2,27,5.47,8.12,14.02,0.03,28/02/2023,0,A,0,,0,1
6,33,GG,TEMP-3,20,C,3,C,2,38,11.32,17.56,28.96,0.32,12/03/2023,3,D,2,15,0,1
8,33,GG,TEMP-3,20,C,3,C,2,38,11.64,16.29,28.28,0.35,12/03/2023,3,D,2,15,0,1
7,33,GG,TEMP-3,20,C,3,C,2,38,11.22,16.51,27.73,0.31,12/03/2023,3,D,2,14,0,1
5,33,GG,TEMP-3,20,C,3,C,2,37,11,17.75,29.21,0.34,12/03/2023,3,D,2,13,0,1
7,33,GG,TEMP-3,20,C,3,C,2,35,10.79,16.88,26.49,0.22,08/03/2023,2,C,1,,0,1
8,33,GG,TEMP-3,20,C,3,C,2,35,9.87,15.97,25.87,0.21,08/03/2023,2,C,1,,0,1
6,33,GG,TEMP-3,20,C,3,C,2,35,10.65,14.9,26.38,0.23,08/03/2023,2,C,1,,0,1
5,33,GG,TEMP-3,20,C,3,C,2,35,10.16,14.56,25.29,0.22,08/03/2023,2,C,1,,0,1
8,33,GG,TEMP-3,20,C,3,C,2,33,9.18,13.06,21.79,0.15,04/03/2023,1,B,1,,0,1
6,33,GG,TEMP-3,20,C,3,C,2,32,7.74,12.46,21.15,0.12,04/03/2023,1,B,1,,0,1
5,33,GG,TEMP-3,20,C,3,C,2,33,8.51,12.29,21.51,0.16,04/03/2023,1,B,1,,0,1
7,33,GG,TEMP-3,20,C,3,C,2,33,8.76,12.02,20.77,0.12,04/03/2023,1,B,1,,0,1
7,33,GG,TEMP-3,20,C,3,C,2,27,6.49,8.84,15.9,0.04,28/02/2023,0,A,0,,0,1
5,33,GG,TEMP-3,20,C,3,C,2,27,6.47,8.81,14.87,0.03,28/02/2023,0,A,0,,0,1
6,33,GG,TEMP-3,20,C,3,C,2,27,6.35,8.74,15.66,0.05,28/02/2023,0,A,0,,0,1
8,33,GG,TEMP-3,20,C,3,C,2,27,6.27,8.53,15.35,0.05,28/02/2023,0,A,0,,0,1
85,34,HH,TEMP-1,20,C,3,C,4,40,11.49,19.62,31.27,0.31,28/03/2023,7,H,4,29,0,1
86,34,HH,TEMP-1,20,C,3,C,4,37,10.35,19.64,30.02,0.3,24/03/2023,6,G,3,27,0,1
87,34,HH,TEMP-1,20,C,3,C,4,38,11.66,18.9,29.99,0.33,24/03/2023,6,G,3,27,0,1
85,34,HH,TEMP-1,20,C,3,C,4,38,11.9,21.03,33.06,0.44,24/03/2023,6,G,3,,0,1
86,34,HH,TEMP-1,20,C,3,C,4,37,11.28,20.71,32.53,0.4,20/03/2023,5,F,3,,0,1
87,34,HH,TEMP-1,20,C,3,C,4,37,11.22,19.81,30.61,0.33,20/03/2023,5,F,3,,0,1
86,34,HH,TEMP-1,20,C,3,C,4,35,10.39,19.16,29.93,0.34,16/03/2023,4,E,2,,0,1
85,34,HH,TEMP-1,20,C,3,C,4,37,11.18,18.7,29.97,0.33,20/03/2023,5,F,3,,0,1
85,34,HH,TEMP-1,20,C,3,C,4,35,9.92,18.08,28.42,0.26,16/03/2023,4,E,2,,0,1
88,34,HH,TEMP-1,20,C,3,C,4,34,11.02,17.64,28.12,0.23,16/03/2023,4,E,2,,0,1
88,34,HH,TEMP-1,20,C,3,C,4,35,9.71,16.47,26.24,0.28,20/03/2023,5,F,3,,0,1
88,34,HH,TEMP-1,20,C,3,C,4,33,9.51,15.55,24.95,0.2,12/03/2023,3,D,2,,0,1
85,34,HH,TEMP-1,20,C,3,C,4,34,9.63,15.34,25.86,0.23,12/03/2023,3,D,2,,0,1
87,34,HH,TEMP-1,20,C,3,C,4,33,9.7,15.25,25.47,0.19,12/03/2023,3,D,2,,0,1
